name,pmid,p1,p2,type,MESH,smiles
2-naphtol,29886236,1765,1774,Chemical,MESH:C028405,C1=CC=C2C=C(C=CC2=C1)O
"2,3,7,8-tetrachlorodibenzo-p-dioxin",28774668,20,55,Chemical,MESH:D000072317,C1=C2C(=CC(=C1Cl)Cl)OC3=CC(=C(C=C3O2)Cl)Cl
3-BHA,31767314,194,199,Chemical,MESH:C051362,CC(C)(C)C1=C(C=CC(=C1)OC)O
4-nonylphenol,22739433,24,37,Chemical,MESH:C041594,CCCCCCCCCC1=CC=C(C=C1)O
"4,4'-(propane-2,2-diyl)diphenol",31887487,141,172,Chemical,MESH:C568233,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O
"4,4'-sulfonyldiphenol",27241191,45,66,Chemical,MESH:C543008,C1=CC(=CC=C1O)S(=O)(=O)C2=CC=C(C=C2)O
atrazine,27614199,468,476,Chemical,MESH:D001280,CCNC1=NC(=NC(=N1)Cl)NC(C)C
avobenzone,32407875,693,703,Chemical,MESH:C049935,CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC
Benzyl butyl phthalate,26820058,121,143,Chemical,MESH:C027561,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2
bifenthrin,31791125,348,358,Chemical,MESH:C099952,CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)[C@@H]3[C@@H](C3(C)C)/C=C(/C(F)(F)F)\Cl
bis(2-ethylhexyl) phthalate,29505797,677,704,Chemical,MESH:D004051,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC
bisphenol F,31528831,360,371,Chemical,MESH:C000611646,C1=CC(=CC=C1CC2=CC=C(C=C2)O)O
butylparaben,18602967,1241,1253,Chemical,MESH:C038091,CCCCOC(=O)C1=CC=C(C=C1)O
chlordane,31965937,1554,1563,Chemical,MESH:D002706,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
chlorpyrifos,32017950,22,34,Chemical,MESH:D004390,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl
DDE,28917205,323,326,Chemical,-,C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl
DDT,28917205,1392,1395,Chemical,MESH:D003634,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl
DES,22464649,850,853,Chemical,-,CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O
diazinon,30195387,1142,1150,Chemical,MESH:D003976,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C
DiBP,18602967,1331,1335,Chemical,MESH:C025605,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C
dioctyl sodium sulfosuccinate,26135921,2707,2736,Chemical,MESH:C001526,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+]
HBCD,31865202,811,815,Chemical,MESH:C089796,C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br
MEHP,22953781,293,297,Chemical,MESH:C016599,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)O
monosodium glutamate,30394305,55,75,Chemical,MESH:D012970,C(CC(=O)O)[C@@H](C(=O)[O-])N.[Na+]
PBDE 99,30903904,458,465,Chemical,MESH:C086401,C1=CC(=C(C=C1Br)Br)OC2=CC(=C(C=C2Br)Br)Br
PCBs,26743957,1883,1887,Chemical,MESH:D011078,C1=CC=C(C=C1)S(=O)(=O)OC2=CC=C(C=C2)Cl
perchlorate,31100570,672,683,Chemical,MESH:C494474,[O-]Cl(=O)(=O)=O
perfluorooctane sulfonate,24834819,50,75,Chemical,MESH:C076994,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F
perfluorooctanoate,24834819,207,225,Chemical,MESH:C023036,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)[O-]
phthalate,30682743,373,382,Chemical,MESH:C032279,C1=CC=C(C(=C1)C(=O)[O-])C(=O)[O-]
pyriproxyfen,30884398,611,623,Chemical,MESH:C055613,CC(COC1=CC=C(C=C1)OC2=CC=CC=C2)OC3=CC=CC=N3
TBBPA,30496566,401,406,Chemical,MESH:C020806,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br
Tetrabromobisphenol-A,30496566,0,21,Chemical,MESH:C020806,CC(C)(C1=CC=C(C=C1)O)C2=C(C(=C(C(=C2Br)Br)O)Br)Br
Thimerosal,27583238,0,10,Chemical,MESH:D013849,CC[Hg]SC1=CC=CC=C1C(=O)[O-].[Na+]
tributyltin,26812627,133,144,Chemical,MESH:C011559,CCCC[Sn](CCCC)CCCC
tributyltin chloride,21397693,27,47,Chemical,MESH:C011559,CCCC[Sn](CCCC)(CCCC)Cl
triflumizole,23211365,41,53,Chemical,MESH:C053549,CCCOCC(=NC1=C(C=C(C=C1)Cl)C(F)(F)F)N2C=CN=C2
